vocablo,hiperonimo
sacacorchos,Instrumento
sacagüil,Platillo
sacar,Expresión
sacar,Hacer
sacar,Lograr
safari,Excursión
sal,Compuesto
salchicha,Perro
saldo,Cantidad
salida,Paseo
salida,Solución
saliente,Parte
salterio,Libro
salvar,Lograr
sanguijuela,Persona
santoral,Libro
santuario,Templo
sapotácea,Familia
sastre,Persona
satisfacer,Hacer
saturación,Método
satélite,Aparato
se,Indica
sección,Corte
sección,Figura
secesión,División
secretario,Persona
secuestrador,Persona
seda,Hilo
sedición,Acción
seguimiento,Actividad
seguro,Instrumento
semana,Tiempo
semanario,Publicación
sembrador,Persona
sembradío,Terreno
seminario,Lugar
sendos,Indica
sensibilizar,Hacer
sensor,Dispositivo
sentar,Hacer
sentido,Comprensión
sentimiento,Capacidad
sentir,Expresión
sentir,Opinión
separador,Objeto
separar,Hacer
septum,Tabique
sereno,Expresión
serio,Persona
serrucho,Herramienta
servicio,Trabajo
servidor,Persona
sesquicentenario,Aniversario
seto,Tejido
seudónimo,Nombre
seña,Aquellas
seña,Gesto
señal,Marca
shah,Título
sibarita,Persona
siderurgia,Industria
siderúrgica,Planta
sierra,Herramienta
siervo,Persona
silicio,Elemento
silla,Asiento
silla,Corte
silueta,Forma
simpatía,Influencia
simplicidad,Cualidad
simplificar,Hacer
sindicalizar,Hacer
singular,Número
sinonimia,Relación
sinvergüenza,Persona
sirvienta,Mujer
sirviente,Hombre
sistematicidad,Propiedad
sitio,Cerco
sitio,Lugar
situación,Posición
sobras,Aquello
sobre,Indica
sobrecargo,Persona
sobrenombre,Nombre
soccer,"Futbol,"
sociología,Ciencia
sociólogo,Persona
solanácea,Familia
solapar,Permitir
soldadera,Mujer
soldado,Persona
soldador,Persona
soldadura,Material
soldadura,Proceso
solicitante,Persona
solidaridad,Relación
solo,Paso
soltar,Dejar
solución,Interrupción
solución,Respuesta
sombra,Maquillaje
sombrilla,Objeto
someter,Hacer
sonar,Aparato
sonda,Instrumento
sondeo,Perforación
soneto,Poema
sonrojar,Hacer
sopa,Expresión
sopa,Platillo
soplo,Fuerza
soplón,Estudiante
soplón,Persona
soporte,Cosa
soprano,Persona
sor,Tratamiento
sordomudo,Persona
sortija,Aro
sosegar,Hacer
sospechoso,Persona
sostén,Persona
sotol,Aguardiente
souvenir,Objeto
suavizar,Hacer
subalterno,Persona
subalterno,Torero
subarrendatario,Persona
subdirector,Persona
subjefe,Persona
sublevar,Hacer
subliderato,Posición
submarino,Embarcación
subsecretario,Persona
subsuelo,Terreno
subtesorero,Persona
subtropical,Aquel
subvertir,Hacer
sucesor,Persona
sudadero,Manta
sudor,Gotas
suelo,Superficie
sufijo,Morfema
sufragio,Voto
suicida,Persona
sulfonación,Proceso
sulfuro,Compuesto
sumergir,Hacer
supercarretera,Carretera
superior,Persona
supernova,Estrella
supersticioso,Persona
suplemento,Cosa
suplemento,Parte
suponer,Creer
sur,Viento
surco,Carril
suscrito,Persona
suspensivo,Acto
sustantivar,Hacer
sustituto,Cosa
sustituto,Persona
sustraendo,Cantidad
suyo,Indica
swing,Baile
sílex,Mineral
síntesis,Operación
síntesis,Proposición
súplica,Petición
tabacalero,Persona
tactismo,Movimiento
talabartería,Establecimiento
talento,Capacidad
talismán,Objeto
tallada,Esfuerzo
taller,Lugar
tamal,Alimento
tambor,Persona
tantito,Peor
tapa,Capa
tapa,Pieza
tapado,Gallo
tapanco,Piso
tapar,Evitar
taquígrafo,Persona
tarasco,Lengua
tarde,Saludo
tarea,Trabajo
tatema,Carne
taxista,Persona
taxímetro,Aparato
techador,Persona
tejedor,Persona
tejedora,Máquina
tejido,Labor
tela,Producto
tela,Tejido
telar,Estructura
telaraña,Tela
telefonema,Mensaje
telegrafista,Persona
telera,Palo
teleteatro,Teatro
televidente,Persona
televisora,Estación
teleósteo,Grupo
teleósteo,Pez
temblor,Vibración
temple,Capacidad
temporal,Músculo
tendencia,Dirección
tendero,Persona
tendido,Muerto
tenedor,Persona
tensor,Músculo
tentación,Deseo
tentar,Hacer
tepestate,Batea
tequio,Trabajo
terapeuta,Persona
tercero,Persona
terceto,Estrofa
terciar,Tener
terminología,Disciplina
termómetro,Instrumento
terraja,Herramienta
terrateniente,Persona
territorio,Zona
tesis,Trabajo
tesorero,Persona
tesoro,Diccionario
testador,Persona
testigo,Persona
testimonio,Cosa
testimonio,Declaración
texto,Libro
teólogo,Persona
teórico,Persona
tienta,Prueba
tierra,Lugar
tijera,Tiro
timbre,Mecanismo
timo,Robo
tinta,Líquido
tintorero,Persona
tintorería,Establecimiento
tipo,Objeto
tira,Persona
tirabuzón,Instrumento
tiradero,Lugar
tirador,Persona
tiranía,Gobierno
tiro,Disparo
tiro,Pleito
tiroxina,Hormona
tirón,Esfuerzo
titulado,Persona
titán,Persona
tlacololero,Campesino
tlaxcalteco,"Tlaxcalteca,"
tobillera,Calcetín
tocadiscos,Aparato
tocotín,Danzante
todo,Indica
toldo,Cubierta
tolerancia,Capacidad
tolerar,Dejar
tono,Intervalo
tonto,Aparentar
tope,Golpe
topógrafo,Persona
toque,Aspiración
torero,Persona
torno,Máquina
torpedo,Proyectil
torta,Pan
tortilla,Alimento
tortillera,Mujer
tortillero,Persona
tortillería,Establecimiento
tortillita,Juego
torturado,Persona
trabajador,Persona
traducción,Versión
traducir,Hacer
traductor,Persona
traficante,Persona
traición,Acto
traje,Indumentaria
traje,Vestido
traje,Vestimenta
tramo,Espacio
trampa,Engaño
transeúnte,Persona
transformar,Hacer
transmisión,Mecanismo
transparentar,Permitir
transposición,Fenómeno
transposición,Operación
traspaso,Cesión
trastero,Alacena
tratadista,Persona
tratado,Documento
trazo,Línea
trece,Número
trepador,Pájaro
tres,Número
tributo,Pago
tributo,Reconocimiento
trilladora,Máquina
trimestre,Cantidad
trino,Adorno
trinquete,Fraude
triple,Vacuna
tripulante,Persona
triunfador,Persona
trofeo,Objeto
trombón,Persona
trompeta,Persona
tropiezo,Dificultad
trovador,Persona
trovador,Poeta
tuerca,Instrumento
tumor,Bulto
tunda,Golpiza
turbina,Motor
turista,Persona
turrón,Dulce
tusadero,Lugar
tuyo,Indica
té,Bebida
técnico,Persona
término,Posición
tímido,Persona
título,Nombre
tónica,Característica
tónico,Medicamento
u,Forma
unificar,Hacer
uniformar,Hacer
unir,Hacer
unión,Operación
unión,Pieza
urbanista,Persona
usuario,Persona
usurero,Persona
utilidad,Ganancia
uñeta,Uña
vaca,Dinero
vacacionista,Persona
vacío,Hacer
vaho,Vapor
vainica,Deshilado
valer,Expresión
valla,Lugar
valor,Documentos
valor,Precio
valor,Propiedad
vampiro,Bebida
vampiro,Cadáver
vaquero,Persona
variable,Aquella
variable,Factor
variar,Hacer
variedad,Diferencia
vasallaje,Tributo
vasco,Lengua
vecindad,Casa
vecindario,Lugar
vecino,Persona
vector,Agente
vector,Magnitud
vehículo,Máquina
veinte,Número
veintiuno,Número
vejiga,Ampolla
vela,Moco
veladora,Lámpara
velocidad,Relación
vencedor,Persona
vendedor,Persona
veneno,Sustancia
ventilador,Aparato
ventilar,Hacer
ventosa,Robo
ventrílocuo,Persona
verbo,Aquel
verdugo,Hombre
verdugo,Toro
veredicto,Decisión
verso,Poema
vertebrado,Animal
vertedero,Lugar
verónica,Lance
vestido,Prenda
veterinaria,Ciencia
veterinario,Persona
veto,Derecho
viaje,Ida
viaje,Recorrido
vicepresidente,Persona
viciar,Hacer
vicio,Defecto
vicisitud,Acontecimiento
vida,Tiempo
vidente,Persona
video,Cassette
video,Conector
videocassettera,Aparato
vidrio,Aquel
vigilante,Persona
villano,Persona
vino,Bebida
viola,Instrumento
viola,Persona
violación,Acto
violentar,Hacer
violinista,Persona
violoncellista,Persona
violoncello,Persona
violín,Persona
virreinato,Tiempo
virrey,Persona
visa,Permiso
viscosa,Sustancia
visera,Protector
visita,Persona
visitante,Ladrón
visitante,Persona
vista,Persona
visto,Aprobación
vivero,Lugar
vivir,Pregunta
vizconde,Persona
vocal,Fonema
vocero,Persona
volcar,Hace
volcán,Conducto
voltear,Hacer
volteón,Recorrido
voluntad,Disposición
voluta,Adorno
volver,Hacer
votante,Persona
voto,Manifestación
voz,Derecho
voz,Persona
voz,Sonido
vuelo,Viaje
vuelto,Dinero
vulcanismo,Teoría
vulcanizador,Persona
vulcanizador,Sustancia
válvula,Acto
válvula,Dispositivo
vándalo,Persona
vía,Procedimiento
víbora,Serpiente
víspera,Tiempo
vómica,Materia
xerófita,Planta
xilógrafo,Persona
yaqui,Lengua
yerbero,Persona
yoduro,Compuesto
yuntero,Persona
zamba,Música
zancuda,Orden
zanja,Surco
zapata,Pieza
zapatero,Persona
zar,Título
zarcillo,Corte
zigofilácea,Familia
zigoto,Huevo
zoque,Lengua
zorrero,Ladrón
zoólogo,Persona
zumo,Líquido
zurcido,Remiendo
¡chin!,Expresión
¡vaya!,Expresión
¡zas!,Expresión
¡órale!,Expresión
ábaco,Artesa
ágape,Banquete
ágata,Línea
águila,Persona
ángel,Expresión
ánimo,Hacer
équido,Animal
éster,Compuesto
índice,Medida
índice,Número
índice,Relación
ñero,Persona
órgano,Agrupación
úlcera,Herida
úrico,Ácido
